scheme,pulse_id,type,mask_size,zeros_enforced,spectral_subtraction,mag_mae,phase_mae,unified_mae,mag_diff,phase_diff,unified_diff
thg-ifrog,1,unmasked,0.0,False,False,0.010154304137549516,0.14106030086342833,0.011763247837378981,0.0,0.0,0.0
thg-ifrog,1,unmasked,0.0,False,True,0.017017607602974848,0.1467707483420789,0.018052385840648343,0.0,0.0,0.0
thg-ifrog,1,unmasked,0.0,True,False,0.0032777233722676396,0.08508365042075028,0.004329527857867116,0.0,0.0,0.0
thg-ifrog,1,unmasked,0.0,True,True,0.004626666215147422,0.1531315391596261,0.006381676994753831,0.0,0.0,0.0
thg-ifrog,1,peak_energy,0.01,False,False,0.014170442384204474,1.0264358466097048,0.020566016223970078,0.004016138246654958,0.8853755457462764,0.008802768386591097
thg-ifrog,1,peak_energy,0.01,False,True,0.01588530306252846,1.2248284828080156,0.02299566965631642,-0.0011323045404463862,1.0780577344659368,0.004943283815668078
thg-ifrog,1,peak_energy,0.05,False,False,0.005403367679144075,0.2766691445051596,0.0076667283395557865,-0.004750936458405441,0.13560884364173129,-0.004096519497823195
thg-ifrog,1,peak_energy,0.05,False,True,0.010271511642310834,0.6055059934758065,0.013261621312832853,-0.006746095960664014,0.45873524513372754,-0.00479076452781549
thg-ifrog,1,peak_energy,0.1,False,False,0.006241298687399416,0.35860956638111385,0.009536015078458068,-0.0039130054501501,0.21754926551768553,-0.002227232758920913
thg-ifrog,1,peak_energy,0.1,False,True,0.0058451160950916195,0.4017560072496681,0.009050698640869864,-0.011172491507883228,0.25498525890758916,-0.00900168719977848
thg-ifrog,2,unmasked,0.0,False,False,0.006786321581878448,0.35336457775948554,0.009521359083514598,0.0,0.0,0.0
thg-ifrog,2,unmasked,0.0,False,True,0.015902722509194656,0.36166223385522805,0.01720300431951414,0.0,0.0,0.0
thg-ifrog,2,unmasked,0.0,True,False,0.004885007967896364,0.5191806904000313,0.008778547021487927,0.0,0.0,0.0
thg-ifrog,2,unmasked,0.0,True,True,0.004848323743061639,0.37095571984022085,0.007522195479307856,0.0,0.0,0.0
thg-ifrog,2,peak_energy,0.01,False,False,0.013315132180026548,1.0661360889682805,0.018802100497516277,0.0065288105981481,0.7127715112087949,0.009280741414001679
